date,indiv_net_kospi,indiv_net_kosdaq,indiv_net_total,inst_net_kospi,inst_net_kosdaq,inst_net_total,foreign_net_kospi,foreign_net_kosdaq,foreign_net_total
2025-07-24,-887087.3000000002,-41459.18999999988,-933455.3900000007,91986.82999999999,-15594.58000000001,81416.78999999988,729017.75,58646.15000000001,787559.0900000001
2025-07-25,-445506.63000000006,67790.87000000014,-379066.8500000005,95291.10999999988,-132551.95999999993,-35505.83999999997,275814.4200000005,94182.09000000003,369372.61000000016
2025-07-28,-951187.0100000013,46566.87000000005,-908214.9600000014,416830.55999999965,-40809.89999999996,372751.8899999996,482098.4700000006,4850.1999999999825,493730.4800000005
2025-07-29,-780799.2299999997,48338.009999999886,-734122.8599999989,104388.37000000004,-29405.81,74613.50999999975,579521.3900000008,-13563.559999999994,567487.0800000015
2025-07-30,-883581.44,-4554.469999999999,-889361.0900000007,319278.22999999986,-12396.6,301096.8099999997,499950.56999999983,38119.79999999993,545132.2499999994
2025-07-31,218381.62999999986,-2178.559999999992,210761.48999999973,-683890.8699999994,-26042.56000000002,-713406.8400000008,342609.7199999995,22978.68999999999,373407.9900000006
2025-08-01,1589304.710000002,220976.3099999998,1807015.2800000017,-1054304.4400000013,-140680.68999999983,-1197254.010000001,-629428.7000000001,-86994.96000000002,-709450.9799999986
2025-08-04,-293897.90000000014,-1298.859999999976,-294272.4999999996,123854.00999999997,72640.32999999999,195724.19,92749.85000000005,-65947.55000000005,25906.560000000005
2025-08-05,-482856.2600000003,-72129.61000000012,-561516.7400000005,95987.81,27987.849999999984,121998.38000000003,314467.09000000055,50779.56000000004,365330.78000000113
2025-08-06,59491.699999999946,-99002.25000000006,-37434.4100000001,-397902.24999999924,101935.45999999989,-300678.12999999936,275199.9899999996,-8298.63999999999,269075.81000000006
2025-08-07,-188336.07999999996,85344.36000000006,-101690.32000000025,120799.67999999998,-22238.910000000007,93650.21000000005,-40427.149999999936,-61750.36999999973,-98103.80999999975
2025-08-08,195516.07000000015,-101447.83000000009,97733.73000000013,-135777.71,70629.18999999993,-68011.14999999994,-160540.44000000032,44171.96000000009,-117058.30000000044
2025-08-11,-129837.98999999998,-101416.7500000001,-228087.14999999973,-221977.62000000034,44408.29000000001,-180395.58000000022,223052.03000000006,55011.22000000007,277962.3200000003
2025-08-12,83674.10999999987,26374.11999999996,102659.14999999997,-106517.36999999992,-8832.919999999991,-110471.8199999999,-64649.08000000005,-12897.809999999987,-76000.76000000029
2025-08-13,-634224.7199999985,-26761.500000000022,-660107.0099999983,-74627.38000000014,31450.469999999958,-41866.4700000001,608412.3899999994,4608.519999999982,611005.1100000003
2025-08-14,-42577.649999999994,-25282.409999999967,-68452.52000000015,33102.86000000006,8198.129999999996,41472.98000000004,-98391.44999999991,27906.910000000007,-70414.48000000027
2025-08-18,358704.6099999999,151166.6499999998,511556.4199999996,84587.31999999989,-114308.82000000004,-30902.839999999956,-493788.9400000003,-34800.56,-527926.3100000005
2025-08-19,79418.91999999993,39618.230000000076,119056.13000000003,260107.47000000015,-62053.679999999964,195926.74000000037,-442169.6199999998,39374.06999999999,-400417.29999999964
2025-08-20,-372172.0899999997,155838.52000000022,-215881.47999999995,504576.8199999997,-83926.48,417268.71,-236455.30999999997,-49863.68000000003,-283702.7300000003
2025-08-21,-210087.98000000033,121518.30999999995,-86784.16000000013,160016.46999999986,-49009.229999999974,107361.36999999969,-59331.63999999992,-67475.39,-124966.96000000006
2025-08-22,-461489.3200000002,-40917.61000000005,-500244.25000000035,153254.86000000004,-1842.409999999991,149504.6200000002,196785.0300000001,60667.629999999954,257080.70999999996
2025-08-25,-382152.53,-264235.98000000004,-645355.8599999985,154124.53999999986,84028.16000000009,237475.07999999993,129066.15000000007,202995.09,331586.10999999975
2025-08-26,840291.1900000008,-125743.49,714533.990000003,-266696.7600000003,-29363.72999999999,-292651.09000000026,-664222.3600000013,169918.18000000017,-496511.91999999987
2025-08-27,127870.06000000004,92496.17999999992,216911.36999999988,35057.20999999996,-7943.799999999997,37067.22999999991,-270657.8200000003,-75576.74000000012,-352519.1600000004
2025-08-28,-458946.59999999945,74674.80999999998,-384986.33999999927,353891.4899999998,-15635.039999999983,335989.3800000014,16040.870000000024,-48543.40000000008,-29021.54999999997
2025-08-29,241849.00999999992,10678.139999999998,253106.12000000032,29501.730000000003,42320.84000000004,73011.12999999984,-337963.03999999934,-43173.55000000003,-382118.1899999993
2025-09-01,386839.88999999996,46663.75000000005,431606.5400000002,-219939.87000000017,6240.390000000019,-214885.6799999999,-277703.1899999998,-40989.49999999999,-315914.85999999935
2025-09-02,-315832.5299999996,-85517.76000000005,-399689.7,-139586.59999999974,25152.510000000013,-119797.37999999996,375051.45000000007,67119.6699999999,444639.22000000003
2025-09-03,-130998.91999999988,-8662.76,-138233.55999999968,-381996.0600000004,-5823.509999999986,-392935.1300000004,421525.3700000004,24352.480000000003,448950.8400000008
2025-09-04,-272398.25,-104525.85000000002,-374875.1700000003,-32945.89000000002,37065.749999999905,3418.249999999993,209338.2800000001,78569.15000000001,285969.8299999996
2025-09-05,-39162.829999999994,-74138.27000000009,-113515.74000000003,69283.15000000002,38321.609999999906,109960.70000000013,-101462.70999999985,48419.570000000014,-55396.020000000084
2025-09-08,-367676.7099999998,4016.629999999999,-370213.93,60622.70999999992,52379.64000000006,114513.7099999999,238121.47,-47129.01000000001,196146.84999999986
2025-09-09,-996209.7700000003,-9034.9,-1010386.100000001,251642.45000000007,1502.1900000000214,253034.48999999996,674025.8800000005,12017.539999999985,692958.2300000006
2025-09-10,-2216305.2799999993,-129123.23000000023,-2345936.659999997,895527.8299999996,68208.0999999999,956635.5899999987,1341577.2500000007,68848.11999999998,1418342.3000000014
2025-09-11,-1133612.0600000052,39135.28999999998,-1092910.5000000016,805091.5399999999,34105.01999999987,831652.6999999995,307691.5000000004,-61271.88000000004,252158.16000000006
2025-09-12,-1903710.0700000022,-265145.8200000001,-2169950.740000003,605806.9400000005,101009.8900000001,707204.8499999996,1298539.180000001,182730.5799999998,1482666.5400000021
2025-09-15,-132392.38000000018,141023.84,9006.129999999966,-139206.42000000016,-39492.64,-184291.07000000027,271223.84000000026,-57589.51999999995,218310.39000000033
2025-09-16,-1685378.95,258649.60000000012,-1428458.4800000004,85712.32000000008,-44716.37999999998,40472.199999999924,1744854.740000003,-199478.0100000004,1546686.2100000053
2025-09-17,259045.34999999971,262641.2700000001,524079.69000000047,-318035.7599999995,-109156.23,-426821.94999999955,-25493.750000000033,-147066.79000000012,-175625.50000000006
2025-09-18,-724360.1900000002,-185955.39999999973,-909430.8600000015,421005.7100000004,162269.34000000023,582640.7800000019,241997.41,40267.429999999964,281901.77000000037
2025-09-19,481595.50000000023,-251096.03,252485.54000000036,-326626.00999999966,83085.93000000001,-254163.56,-245634.43000000043,200505.03000000006,-57246.180000000066
2025-09-22,-695636.0999999981,103813.43000000024,-581016.0399999982,248036.51999999987,21242.239999999972,263689.49000000017,516419.7299999998,-29116.21000000005,483031.9100000001
2025-09-23,-248851.02999999974,195759.41000000003,-57650.34000000001,-144880.3900000001,-78681.86000000025,-219100.41000000027,349930.5900000004,-104011.01999999993,245742.95000000065
2025-09-24,26549.640000000032,407678.0700000005,435683.500000001,171973.84999999983,-165370.80000000008,8907.989999999954,-225704.81999999998,-233345.94000000024,-462460.10000000044
2025-09-25,-487158.51,108458.33000000006,-380314.5600000001,233691.19000000024,-112726.38999999994,115335.0300000003,207141.54999999996,26034.600000000006,240911.59999999966
2025-09-26,1107741.5999999987,60534.160000000076,1169117.3699999999,-499439.6000000006,11140.130000000003,-488796.8700000001,-562523.5999999993,-64231.29999999993,-626960.639999998
2025-09-29,-712244.5099999995,-213435.60999999996,-917334.2400000002,275141.4599999996,138218.31999999983,425383.44999999995,448603.2299999996,98918.78000000013,526008.8299999993
2025-09-30,31365.449999999983,166498.85000000024,201739.16000000032,-80714.07000000021,30398.819999999956,-57404.6999999999,-4838.4100000000035,-167304.7400000001,-168787.86999999997
2025-10-01,-971411.0000000009,-14967.440000000002,-984002.050000001,192568.71999999994,-346.9499999999389,190145.90999999983,745402.8099999987,27914.229999999967,777537.2300000003
2025-10-02,-2813434.9699999965,-26561.170000000006,-2847158.809999994,-146704.45999999996,12798.619999999988,-136043.18000000005,2958006.080000004,26868.829999999976,2993632.9500000062
2025-10-10,-311761.09999999957,-117093.65999999996,-428555.77999999945,-585394.8499999988,-86575.22999999998,-674378.7799999985,861234.4500000011,231372.56000000014,1094566.8200000003
2025-10-13,1196914.9399999992,109536.20999999999,1304195.9599999988,-449956.9700000001,-12784.399999999985,-462233.17999999993,-853008.1700000011,-94180.43000000001,-945457.3600000005
2025-10-14,35426.009999999995,215545.17999999973,255402.09999999986,-633165.1,-113390.25000000012,-746700.3100000005,528340.0099999991,-104621.69000000002,419214.92000000033
2025-10-15,-910126.0599999992,-74463.45999999993,-985027.7099999996,734718.8400000002,63770.91999999972,797609.150000001,123738.59000000014,14585.660000000105,140305.48999999996
2025-10-16,-1260855.4599999995,323575.1800000004,-933415.4199999998,736227.8400000012,-231690.3700000001,502219.45000000065,573967.4300000002,-62309.28999999999,510157.72000000015
2025-10-17,-236037.94000000006,63369.6200000001,-173071.90000000029,-169235.7999999996,-120481.90999999989,-293002.26000000053,366632.6499999997,75216.1400000004,446075.4600000002
2025-10-20,-291675.35999999964,-177928.22999999992,-469685.88999999984,627302.0100000001,67258.9899999999,690256.8599999999,-355464.1400000004,120463.53999999996,-230544.7300000008
2025-10-21,31304.31000000008,167561.6100000003,198888.0000000002,219386.18000000008,-58508.55000000005,153577.21999999983,-211821.1100000003,-27644.930000000055,-232987.48000000033
2025-10-22,-61938.03999999992,175605.07000000007,114861.17000000016,755059.6400000014,-86134.68,668306.5800000007,-704109.7600000001,-74458.51000000013,-779227.7500000007
2025-10-23,755963.2700000007,154308.5299999998,906170.6499999994,-407579.81000000035,-11942.359999999957,-415624.3800000002,-407582.5199999996,-109303.03999999995,-515750.1900000005
2025-10-24,-1930297.0800000005,-123178.1100000001,-2057315.6800000002,1364531.1100000015,162006.90000000014,1526616.9900000012,560004.9100000014,45486.10999999995,609354.3900000018
2025-10-27,-722538.6000000001,-279427.5799999996,-1005050.9799999984,236037.4000000009,191843.6100000004,422777.2400000005,570894.800000001,219878.50999999995,799130.4
2025-10-28,1536995.5800000003,133047.50999999998,1671967.0299999996,100813.40999999983,26656.830000000045,125255.66999999984,-1613824.279999997,-141646.91999999995,-1755520.9599999965
2025-10-29,-246593.49000000005,44104.91999999997,-203999.22000000044,506280.8499999998,-55641.94000000005,449898.81999999925,-201976.28000000023,54494.8799999999,-145188.64000000007
