code,name,sector
199730,바이오인프라,생명과학도구및서비스
354200,엔젠바이오,생명과학도구및서비스
266470,바이오인프라생명과학,생명과학도구및서비스
090460,비에이치,전자장비와기기
464080,에스오에스랩,전자장비와기기
372170,윤성에프앤씨,전자장비와기기
264850,이랜시스,전자장비와기기
081180,쎄크,전자장비와기기
209640,와이제이링크,전자장비와기기
446540,메가터치,전자장비와기기
004770,써니전자,전자장비와기기
493330,지에프아이,전자장비와기기
009150,삼성전기,전자장비와기기
131400,이브이첨단소재,전자장비와기기
069510,에스텍,전자장비와기기
020150,롯데에너지머티리얼즈,전자장비와기기
090470,제이스로보틱스,전자장비와기기
140860,파크시스템스,전자장비와기기
031330,에스에이엠티,전자장비와기기
323280,태성,전자장비와기기
355690,에이텀,전자장비와기기
011690,와이투솔루션,전자장비와기기
127980,화인써키트,전자장비와기기
089980,상아프론테크,전자장비와기기
168360,펨트론,전자장비와기기
072990,에이치시티,전자장비와기기
114190,강원에너지,전자장비와기기
161580,필옵틱스,전자장비와기기
017900,광전자,전자장비와기기
033200,모아텍,전자장비와기기
318020,포인트모바일,전자장비와기기
072950,빛샘전자,전자장비와기기
078600,대주전자재료,전자장비와기기
085670,뉴프렉스,전자장비와기기
089010,켐트로닉스,전자장비와기기
032960,동일기연,전자장비와기기
333620,엔시스,전자장비와기기
360350,코셈,전자장비와기기
417010,나노팀,전자장비와기기
051370,인터플렉스,전자장비와기기
368770,파이버프로,전자장비와기기
016920,카스,전자장비와기기
009155,삼성전기우,전자장비와기기
455180,케이지에이,전자장비와기기
082210,옵트론텍,전자장비와기기
091340,S&K폴리텍,전자장비와기기
098460,고영,전자장비와기기
370090,퓨런티어,전자장비와기기
101140,인바이오젠,전자장비와기기
011070,LG이노텍,전자장비와기기
017250,인터엠,전자장비와기기
248070,솔루엠,전자장비와기기
336370,솔루스첨단소재,전자장비와기기
347000,센코,전자장비와기기
347890,엠엑스온,전자장비와기기
109740,디에스케이,전자장비와기기
055490,테이팩스,전자장비와기기
417790,트루엔,전자장비와기기
203450,유니온바이오메트릭스,전자장비와기기
084850,아이티엠반도체,전자장비와기기
037950,엘컴텍,전자장비와기기
299030,하나기술,전자장비와기기
331380,포커스에이아이,전자장비와기기
044990,에이치엔에스하이텍,전자장비와기기
396300,HT로보틱스,전자장비와기기
222800,심텍,전자장비와기기
011230,삼화전자,전자장비와기기
364950,에이아이코리아,전자장비와기기
360070,탑머티리얼,전자장비와기기
004270,남성,전자장비와기기
083640,인콘,전자장비와기기
187220,디티앤씨,전자장비와기기
191600,블루탑,전자장비와기기
225190,LK삼양,전자장비와기기
238500,솔루믹스,전자장비와기기
277880,티에스아이,전자장비와기기
317770,엑스페릭스,전자장비와기기
340930,성원에너텍,전자장비와기기
143160,아이디스,전자장비와기기
263810,상신전자,전자장비와기기
290670,대보마그네틱,전자장비와기기
004710,한솔테크닉스,전자장비와기기
066900,디에이피,전자장비와기기
262260,에이프로,전자장비와기기
007810,코리아써키트,전자장비와기기
320000,한울반도체,전자장비와기기
053450,세코닉스,전자장비와기기
254120,자비스,전자장비와기기
092300,현우산업,전자장비와기기
060230,제이케이시냅스,전자장비와기기
057540,옴니시스템,전자장비와기기
008060,대덕,전자장비와기기
054090,삼진엘앤디,전자장비와기기
361670,삼영에스앤씨,전자장비와기기
236200,슈프리마,전자장비와기기
