종목명,시가총액(억원),2026_영업이익(십억원),2027_영업이익(십억원),영업이익_증가율
네오크레마,297.4,,,
CJ 바이오사이언스,491.3,,,
에이에프더블류,76.8,,,
캐리,52.4,,,
지놈앤컴퍼니,1648.0,,,
알피바이오,535.6,,,
딥노이드,480.2,,,
라닉스,214.7,,,
TS트릴리온,336.4,,,
에피소드컴퍼니,511.7,,,
퀀타매트릭스,417.8,,,
엑스페릭스,969.2,,,
에스피시스템스,526.8,,,
대모,492.0,,,
KBG,260.0,,,
팜스빌,290.2,,,
포인트모바일,306.9,,,
셀바이오휴먼텍,625.6,15.0,,
비비씨,322.8,14.8,,
한울반도체,767.1,,,
프로이천,448.3,,,
센서뷰,664.4,,,
티움바이오,1410.3,,,
아티스트컴퍼니,376.5,,,
LS티라유텍,914.7,,,
제이엘케이,1402.1,,,
코퍼스코리아,174.7,,,
태성,11894.5,,,
박셀바이오,969.8,,,
루닛,8086.2,-29.1,-5.3,
솔트웨어,229.6,,,
위더스제약,921.3,,,
스톤브릿지벤처스,889.0,,,
포커스에이아이,789.7,,,
밸로프,215.1,,,
아우토크립트,642.6,-3.9,4.4,
셀레믹스,1145.0,,,
아이디피,742.0,12.2,,
이노테나,250.7,,,
일승,1229.1,,,
엔시스,621.4,,,
프레스티지바이오로직스,1544.2,,,
프리시젼바이오,301.4,,,
윙스풋,182.6,,,
웨이버스,280.3,,,
탑런토탈솔루션,1002.1,30.0,,
와이바이오로직스,1533.6,-8.0,,
다보링크,521.1,,,
세림B&G,230.1,,,
시선AI,454.4,,,
성원에너텍,555.1,,,
이노진,156.9,,,
센코,654.5,,,
디앤디파마텍,26356.6,,,
알체라,629.8,,,
모비릭스,304.9,,,
큐라티스,475.3,,,
고바이오랩,614.6,,,
위드텍,896.1,,,
엔켐,5444.9,,,
넥사다이내믹스,270.3,,,
이삭엔지니어링,292.6,,,
차이커뮤니케이션,186.4,,,
스톰테크,994.3,,,
씨앤투스,364.5,,,
셀레스트라,136.1,,,
오비고,433.5,,,
인바이오,218.4,,,
휴럼,231.5,,,
오토앤,215.3,,,
엔젠바이오,163.4,,,
크라우드웍스,317.5,,,
에이텀,418.2,,,
엑스게이트,3165.5,,,
싸이버원,282.1,,,
SKAI,1117.0,,,
지아이이노베이션,5516.1,,,
씨엔알리서치,217.9,,,
탑머티리얼,740.6,,,
코셈,342.6,,,
알비더블유,390.9,,,
삼영에스앤씨,206.3,,,
드림인사이트,196.7,3.4,,
진시스템,399.9,,,
모비데이즈,284.0,,,
에이아이코리아,331.0,,,
큐라클,2193.5,-13.6,,
에스와이스틸텍,705.4,,,
하이딥,339.4,,,
브이씨,179.8,,,
나인앤컴퍼니,996.8,,,
플래티어,263.4,,,
아이씨에이치,241.7,,,
파이버프로,3985.2,17.6,,
오에스피,230.5,,,
블리츠웨이엔터테인먼트,379.0,,,
풍원정밀,1096.9,,,
윤성에프앤씨,1466.5,,,
큐로셀,4103.7,-25.9,12.0,
아이티아이즈,202.3,,,
엑셀세라퓨틱스,227.2,,,
데이원컴퍼니,441.1,,,
엠아이큐브솔루션,270.5,,,
엑스플러스,431.5,,,
피코그램,271.0,,,
씨유테크,461.7,,,
로킷헬스케어,4936.7,-7.4,,
노을,320.6,-7.9,1.4,
원티드랩,294.9,,,
비트맥스,238.7,,,
프롬바이오,145.2,,,
이지트로닉스,216.9,,,
리파인,2410.6,,,
큐에이드,2531.9,,,
마음AI,792.1,,,
필에너지,2255.3,,,
샤페론,219.7,,,
옵티코어,2066.6,,,
뉴로핏,1034.5,-14.5,,
제닉스로보틱스,793.6,,,
온코크로스,457.9,,,
지아이텍,718.3,,,
원준,720.8,,,
디티앤씨알오,235.2,,,
코어라인소프트,485.5,,,
파인메딕스,274.5,,,
지에프씨생명과학,325.4,,,
유일로보틱스,8364.8,,,
라이콤,1307.2,,,
파로스아이바이오,713.3,,,
자람테크놀로지,1415.5,,4.0,
지니너스,854.8,,,
포바이포,729.2,,,
인벤티지랩,4172.0,,,
에스비비테크,2232.3,-5.1,-3.8,
넥스트바이오메디컬,3315.1,-4.5,-0.3,
유디엠텍,94.9,,,
코닉오토메이션,548.5,,,
토마토시스템,364.6,,,
더블유씨피,2599.2,-41.8,26.8,
대진첨단소재,504.3,,,
오픈엣지테크놀로지,2476.6,-0.1,7.5,
리센스메디컬,1186.9,-1.3,6.8,
쓰리빌리언,1934.8,-3.6,4.4,
세아메카닉스,1074.1,7.6,,
워트,939.8,5.7,,
에이프릴바이오,6462.2,-1.0,16.0,
애드포러스,262.2,,,
에스지헬스케어,250.4,2.5,,
가온칩스,5170.5,8.7,,
코난테크놀로지,1883.9,,,
그린리소스,1134.7,,,
우듬지팜,232.0,,,
플라즈맵,176.6,,,
나라셀라,222.4,,,
뷰티스킨,265.8,,,
꿈비,290.3,,,
한패스,561.4,,,
스튜디오미르,360.3,5.0,,
샌즈랩,607.7,,,
레이저쎌,581.2,,,
제일엠앤에스,810.6,,,
엠오티,796.7,,,
스튜디오삼익,228.6,,,
나노팀,1018.7,6.5,,
핑거스토리,181.4,,,
LS머트리얼즈,8010.1,16.6,,
제이아이테크,1036.0,,,
오브젠,339.4,,,
모델솔루션,682.5,,,
시큐레터,476.3,,,
라온텍,1103.3,,,
제이오,1412.0,,,
E8,151.9,,,
엔젯,602.3,,,
산돌,339.2,,,
비스토스,185.3,,,
제이투케이바이오,604.0,,,
벨로크,211.6,,,
이뮨온시아,2916.1,,,
스마트레이더시스템,633.9,-2.6,,
마이크로투나노,386.5,,,
시지트로닉스,214.4,-7.0,,
한싹,258.2,,,
케이쓰리아이,187.2,,,
퀄리타스반도체,1129.3,,,
엠에프씨,225.1,,,
모니터랩,294.2,,,
에르코스,534.0,,,
삼현,11335.5,,,
버넥트,191.6,,,
마녀공장,2837.7,,,
블루엠텍,580.1,,,
코스모로보틱스,5558.8,,,
HB인베스트먼트,462.7,,,
오픈놀,233.0,,,
에스피소프트,751.5,,,
큐리옥스바이오시스템즈,7087.7,-12.2,,
메가터치,1948.3,,,
에코아이,2118.6,,,
하스,352.4,,,
인스웨이브,265.1,,,
아이엠티,711.1,4.0,,
삐아,763.9,,,
제이엔비,311.6,,,
한빛레이저,863.5,,,
민테크,352.1,,,
한선엔지니어링,2398.3,,,
캡스톤파트너스,305.4,,,
이닉스,542.5,,,
피아이이,1118.7,,,
에이에스텍,592.9,,,
케이지에이,256.4,,,
엔젤로보틱스,3401.8,,,
아이씨티케이,2197.1,-2.0,8.4,
이엔셀,680.5,,,
지투지바이오,6186.1,,,
한켐,565.5,,,
우진엔텍,1332.6,,,
에스팀,316.1,,,
성우,1235.2,,,
나우로보틱스,2197.2,,,
아이빔테크놀로지,471.7,,,
아이엠비디엑스,473.0,,,
아이스크림미디어,2398.3,68.1,,
뉴키즈온,306.1,,,
이노스페이스,2409.0,-34.8,0.3,
라메디텍,243.8,,,
더즌,1435.1,,,
아이지넷,243.1,,,
뉴엔AI,1065.0,,,
모티브링크,502.4,,,
에스오에스랩,1541.7,,,
티디에스팜,295.9,,,
쿼드메디슨,706.1,-3.3,10.5,
아이언디바이스,251.9,,,
교보15호스팩,80.6,,,
인스피언,320.9,,,
클로봇,8096.0,13.0,,
키움히어로제1호스팩,101.9,,,
프로티나,2858.1,-2.1,7.0,
유진스팩10호,88.2,,,
IBKS제24호스팩,90.1,,,
이노테크,1108.0,15.8,,
아이비젼웍스,347.7,,,
하나31호스팩,116.6,,,
대신밸런스제17호스팩,127.6,,,
셀로맥스사이언스,464.5,,,
신영스팩10호,98.5,,,
에스케이증권제11호스팩,86.6,,,
에스케이증권제12호스팩,68.0,,,
유안타제15호스팩,146.2,,,
에스케이증권제13호스팩,89.7,,,
유안타제16호스팩,113.5,,,
링크솔루션,1323.0,-2.1,9.2,
신한제12호스팩,114.0,,,
신한제13호스팩,75.7,,,
엔알비,857.7,13.1,,
하나32호스팩,66.4,,,
하나33호스팩,76.2,,,
씨메스로보틱스,2373.2,-13.2,-4.4,
미트박스,325.2,,,
에이럭스,979.6,9.8,,
에스켐,266.4,9.6,,
오름테라퓨틱,13444.4,,,
오가노이드사이언스,544.6,,,
M83,300.5,,,
알지노믹스,9090.0,,,
에이치엠씨제7호스팩,153.2,,,
미래에셋비전스팩4호,167.3,,,
미래에셋비전스팩5호,113.4,,,
DB금융스팩12호,119.7,,,
마키나락스,5157.8,,,
이베스트스팩6호,102.2,,,
나라스페이스테크놀로지,1188.3,,,
KB제29호스팩,127.2,,,
미래에셋비전스팩6호,141.7,,,
블랙야크아이앤씨,711.6,,,
한국제15호스팩,140.8,,,
위너스일렉,427.6,,,
엔에이치스팩31호,131.3,,,
교보16호스팩,124.1,,,
미래에셋비전스팩7호,168.8,,,
대신밸런스제19호스팩,116.2,,,
하나34호스팩,91.1,,,
티엑스알로보틱스,2438.2,,,
KB제30호스팩,107.5,,,
노타,4332.0,-4.0,2.0,
신한제14호스팩,113.4,,,
폴레드,895.3,,,
키움제10호스팩,84.8,,,
신한제15호스팩,87.7,,,
유진스팩11호,94.9,,,
비츠로넥스텍,2584.7,,,
교보17호스팩,104.9,,,
키움제11호스팩,133.7,,,
디비금융제13호스팩,128.2,,,
세미파이브,5655.0,-2.1,26.1,
리브스메드,11667.9,-20.5,7.2,
KB제31호스팩,124.2,,,
아이엠바이오로직스,2718.1,,,
지에프아이,810.6,,,
유안타제17호스팩,106.5,,,
큐리오시스,874.4,-1.2,4.1,
신한제16호스팩,111.7,,,
한화플러스제5호스팩,100.9,,,
글로벌에스엠,265.0,,,
파이온엑스,110.5,,,
딥커머스,203.0,,,
씨엑스아이,89.9,,,
크리스탈신소재,382.9,,,
로스웰,776.5,,,
헝셩그룹,107.4,,,
GRT,3186.1,,,
오가닉티코스메틱,390.2,,,
컬러레이,257.4,,,
윙입푸드,195.5,,,
엑세스바이오,809.0,,,
잉글우드랩,1815.9,31.0,,
코오롱티슈진,15005.7,-29.0,-45.0,
JTC,2204.4,81.2,,
고스트스튜디오,1136.4,,,
소마젠,553.0,,,
네오이뮨텍,523.1,,,
테라뷰,838.2,,,
