종목명,시가총액(억원),2026_영업이익(십억원),2027_영업이익(십억원),영업이익_증가율
키다리스튜디오,1369.5,,,
롯데에너지머티리얼즈,16023.8,-41.0,51.9,
아시아나항공,15057.9,-570.0,116.0,
일진디스플,555.0,,,
서원,490.9,,,
세원정공,1059.0,,,
포스코DX,31547.2,,,
삼원강재,880.2,,,
MH에탄올,304.0,,,
한국종합기술,428.7,,,
동남합성,1015.0,,,
다우기술,16622.3,,,
인지컨트롤스,822.1,,,
인팩,512.0,,,
에쓰씨엔지니어링,371.6,,,
WISCOM,289.8,,,
디씨엠,1263.1,,,
콜마홀딩스,3337.0,,,
대원화성,231.4,,,
디와이덕양,562.1,,,
KPX케미칼,2178.4,,,
SJM홀딩스,519.0,,,
미래산업,1583.2,,,
차AI헬스케어,857.4,,,
한솔홈데코,299.2,,,
이구산업,1461.4,,,
남해화학,2866.5,,,
한국주강,275.3,,,
스틱인베스트먼트,3113.3,,,
부국철강,393.0,,,
동서,26420.5,,,
마니커,375.4,,,
한국제지,1019.2,,,
동아지질,2400.7,,,
케이씨,3460.4,,,
신도리코,3993.2,,,
다올투자증권,2250.7,,,
교보증권,11396.3,,,
동원수산,274.1,,,
아이티센씨티에스,677.9,,,
황금에스티,926.5,,,
체시스,263.4,,,
무학,2180.2,,,
NICE,4763.7,,,
인천도시가스,1157.1,,,
HS애드,1072.9,,,
신세계 I&C,1817.5,,,
팜스코,947.6,,,
YG PLUS,2225.0,,,
광주신세계,2963.2,,,
상신브레이크,471.3,,,
주연테크,101.2,,,
KSS해운,2294.7,,,
코스맥스비티아이,2218.5,,,
유니온머티리얼,372.1,,,
우진플라임,351.8,,,
진양화학,222.4,,,
테이팩스,648.1,,,
다스코,668.3,,,
KTcs,931.6,,,
KTis,880.5,,,
종근당바이오,755.4,,,
세이브존I&C,929.6,,,
삼성출판사,624.0,,,
대호에이엘,463.2,,,
한세엠케이,319.9,,,
DSR제강,848.2,,,
하이스틸,608.8,,,
코아스,268.7,,,
유엔젤,631.6,,,
농심홀딩스,4211.1,,,
이엔플러스,448.2,,,
새론오토모티브,572.2,,,
유니퀘스트,1194.5,,,
텔코웨어,1179.0,,,
휴비스,721.0,,,
일진다이아,1255.5,,,
그린케미칼,1190.4,,,
동양고속,710.9,,,
이월드,774.3,,,
대상홀딩스,2813.7,,,
TBH글로벌,446.0,,,
엔케이,682.5,,,
진도,293.1,,,
HDC현대EP,1272.8,,,
평화산업,559.5,,,
노루페인트,1540.0,,,
메타랩스,297.3,,,
트리니티항공,3195.9,-145.5,53.5,
디아이씨,1936.7,,,
KEC,1058.0,,,
KPX홀딩스,3696.6,,,
기신정기,546.0,,,
DYP,422.0,,,
넥스틸,3198.2,,,
형지엘리트,248.6,,,
효성ITX,1396.2,,,
JW홀딩스,2897.9,,,
비상교육,668.0,,,
진양홀딩스,1945.8,,,
인바이오젠,534.4,,,
해태제과식품,1650.9,,,
동성케미컬,1884.9,,,
이연제약,1864.3,,,
한국철강,3477.3,-11.0,9.0,
미원홀딩스,1229.6,,,
주성코퍼레이션,771.0,,,
대성에너지,1864.5,,,
메타케어,310.1,,,
KC코트렐,1007.8,,,
조선선재,1069.0,,,
한국화장품,1028.4,,,
SJM,536.8,,,
현대퓨처넷,3587.3,,,
대성산업,1927.0,,,
인터지스,573.8,,,
한전산업,3719.7,,,
화인베스틸,355.2,,,
미원화학,2282.8,,,
시디즈,381.2,,,
선진,2458.8,,,
에스디바이오센서,7957.4,-29.1,-8.8,
아주스틸,914.6,,,
핸즈코퍼레이션,335.7,,,
다이나믹디자인,94.6,,,
삼양사,4666.8,,,
DSR,739.2,,,
애경케미칼,4378.4,,,
동일고무벨트,806.2,,,
한진칼,79380.3,,,
서연이화,3240.7,,,
디와이파워,1245.5,,,
금호에이치티,535.4,,,
경보제약,1252.7,,,
잇츠한불,2214.9,,,
현대코퍼레이션홀딩스,1160.4,,,
에이플러스에셋,2979.7,35.1,,
샘표식품,1078.1,,,
경동도시가스,1211.5,,,
아시아나IDT,1041.2,,,
미원에스씨,6155.0,,,
일진하이솔루스,3874.6,-4.1,1.6,
제일약품,1489.6,,,
진에어,2808.4,-29.7,79.9,
삼양패키징,1434.5,,,
쿠쿠홈시스,4857.7,,,
효성화학,2696.0,,,
SK바이오사이언스,28911.2,-129.5,-95.4,
씨티알모빌리티,313.4,,,
명인제약,6723.3,,,
두산퓨얼셀,20008.3,-71.5,50.5,
솔루스첨단소재,5196.1,-75.3,28.8,
SK아이이테크놀로지,12251.7,-243.4,-99.1,
티와이홀딩스,840.8,,,
바이오노트,4936.4,,,
화승알앤에이,522.3,,,
유니드비티플러스,377.8,,,
한화갤러리아,3935.4,,,
이수스페셜티케미컬,18977.5,-0.9,-1.7,
조선내화,1637.2,,,
STX그린로지스,220.5,,,
더본코리아,2055.2,,,
씨케이솔루션,437.5,,,
HS효성,1710.2,,,
엘브이엠씨홀딩스,2405.8,,,
프레스티지바이오파마,3966.3,,,
삼성전자우,1364833.4,,,
덕양에너젠,2131.8,,,
중앙에너비스,750.4,,,
디비금융제14호스팩,106.2,,,
인벤테라,616.7,,,
에임드바이오,16167.8,,,
신라섬유,145.4,,,
제이피아이헬스케어,484.5,5.0,,
액스비스,824.2,7.9,,
채비,2223.1,,,
삼진식품,490.0,10.0,,
안국약품,1683.8,,,
그린광학,1825.6,5.4,,
무림SP,269.9,,,
이화공영,625.9,,,
피에스텍,957.9,,,
삼일기업공사,391.8,,,
한탑,110.4,,,
신신제약,655.4,,,
선광,1320.0,,,
KB제32호스팩,126.0,,,
에이스침대,3659.7,,,
교보18호스팩,101.1,,,
엘에스스팩1호,81.8,,,
하나35호스팩,120.4,,,
삼성스팩10호,149.3,,,
한국가구,775.5,,,
창해에탄올,855.7,,,
대륙제관,644.9,,,
동국산업,1396.8,,,
엔에이치스팩32호,124.6,,,
푸드웰,642.0,,,
대원산업,2338.4,,,
한일사료,949.6,,,
매일홀딩스,1433.6,,,
국영지앤엠,171.0,,,
피제이전자,722.4,,,
동구바이오제약,1110.1,,,
비엔케이제3호스팩,85.7,,,
보성파워텍,3252.4,,,
모헨즈,352.2,,,
삼성스팩11호,114.3,,,
KB제33호스팩,155.5,,,
푸른저축은행,1552.0,,,
진양제약,554.8,,,
네이처셀,14336.8,,,
와이엠,354.7,,,
대원,449.6,,,
소노스퀘어,279.8,,,
한일화학,224.6,,,
원풍물산,72.8,,,
카나프테라퓨틱스,1879.4,,,
원풍,585.0,,,
부스타,168.9,,,
대동기어,525.8,,,
메리츠제1호스팩,121.1,,,
메쥬,1272.8,,,
신영스팩11호,122.3,,,
삼아제약,830.0,,,
미래에셋비전스팩8호,127.4,,,
포스코엠텍,4805.6,,,
삼보산업,145.9,,,
삼성스팩12호,131.1,,,
미래에셋비전스팩9호,109.0,,,
이렘,152.2,,,
엠에스씨,1107.0,,,
