code,name,sector,latest_mktcap,latest_period,latest_is_estimate,latest_yoy,prev_yoy,accel,n_quarters
A033530,SJG세종,자동차부품,181520926290,202612,True,63.5,19.8,43.7,12
A033640,네패스,반도체와반도체장비,634128055000,202612,True,1114.9,55.0,1059.9,12
A033780,KT&G,담배,18405593848800,202703,True,0.2,8.0,-7.8,13
A034020,두산에너빌리티,기계,55408539129000,202712,True,40.7,53.8,-13.1,16
A034120,SBS,방송과엔터테인먼트,220388707440,202612,True,85.7,-29.2,114.9,12
A034220,LG디스플레이,디스플레이패널,4235000000000,202712,True,69.8,56.6,13.2,16
A034230,파라다이스,"호텔,레스토랑,레저",884610598100,202703,True,-0.5,120.1,-120.6,13
A034730,SK,석유와가스,42631589364000,202612,True,858.1,1683.9,-825.8,12
A034830,한국토지신탁,부동산,291372571420,202606,False,9.5,,,12
A035150,백산,"섬유,의류,신발,호화품",205421510810,202612,True,110.0,58.3,51.7,12
A035250,강원랜드,"호텔,레스토랑,레저",3074324985000,202612,True,12.2,-12.5,24.7,12
A035420,NAVER,양방향미디어와서비스,30570968169000,202712,True,25.1,27.1,-2.0,16
A035600,KG이니시스,IT서비스,274166618300,202612,True,54.7,-4.3,59.0,12
A035720,카카오,양방향미디어와서비스,15128446687450,202712,True,10.5,19.6,-9.1,16
A035760,CJ ENM,방송과엔터테인먼트,828922021200,202612,True,-22.5,72.6,-95.1,12
A035810,이지홀딩스,식품,295806708225,202612,True,147.3,1.1,146.2,12
A035900,JYP Ent.,방송과엔터테인먼트,1332468450000,202712,True,27.2,35.8,-8.6,16
A036010,아비코전자,전기제품,97038418200,202612,True,-0.8,-4.9,4.1,12
A036200,유니셈,반도체와반도체장비,284870631670,202612,True,194.9,421.0,-226.1,12
A036420,콘텐트리중앙,방송과엔터테인먼트,29779528168,202612,True,33.9,15.9,18.0,12
A036460,한국가스공사,가스유틸리티,3304805400000,202712,True,28.0,-8.9,36.9,16
A036540,SFA반도체,반도체와반도체장비,1746568417860,202609,True,-50.3,-8.5,-41.8,12
A036570,NC,게임엔터테인먼트,4804316906000,202712,True,25.1,96.6,-71.5,16
