code,name,sector,latest_date,latest_mult,hist_min_mult,hist_min_date,hist_max_mult,hist_max_date,percentile,n_obs,latest_mktcap
A084440,유비온,교육서비스,2026-09-11,-40.33,2.12,2017-01-18,116.7,2024-01-08,0.0,2173,22882375516
A000650,천일고속,도로와철도운송,2026-09-11,-39.86,24.99,2015-04-07,1300.91,2017-06-15,0.0,679,204807226000
A331920,셀레믹스,생물공학,2026-09-11,-39.73,111.53,2020-09-24,192.31,2020-08-25,0.0,62,154305459000
A001080,만호제강,철강,2026-09-11,-38.93,9.32,2015-12-15,384.59,2018-10-01,0.0,1351,140459840000
A307180,아이엘,디스플레이장비및부품,2026-09-11,-38.6,7.68,2025-04-09,549.12,2025-07-31,0.0,794,201559590960
A110790,크리스에프앤씨,"섬유,의류,신발,호화품",2026-09-11,-38.48,1.98,2022-11-04,455.0,2025-10-13,0.0,1781,69355641600
A134790,시디즈,가구,2026-09-11,-38.43,4.63,2021-11-29,2411.6,2023-02-08,0.0,1168,38420000000
A205500,넥써쓰,게임엔터테인먼트,2026-09-11,-38.38,10.06,2018-07-10,154.67,2015-10-19,0.0,271,159686594067
A432980,엠에프씨,제약,2026-09-11,-37.17,22.28,2025-03-31,1943.1,2025-10-01,0.0,301,20834974350
A051780,큐로홀딩스,식품,2026-09-11,-37.02,18.77,2021-08-20,2251.26,2019-06-17,0.0,1231,19798062520
A042600,새로닉스,가정용기기와용품,2026-09-11,-36.3,3.0,2015-08-24,1060.27,2024-01-05,0.0,2154,152188781500
A025950,동신건설,건설,2026-09-11,-36.22,6.16,2018-01-19,2518.99,2020-12-22,0.0,2394,85344000000
A114190,강원에너지,전자장비와기기,2026-09-11,-35.13,5.73,2017-04-14,278.07,2023-06-15,0.0,1350,233801190100
A036480,대성미생물,제약,2026-09-11,-34.98,6.22,2016-01-21,390.49,2022-08-19,0.0,2151,23332000000
A065440,이루온,IT서비스,2026-09-11,-34.73,4.36,2024-10-04,1263.25,2018-05-30,0.0,2329,37803177720
A246720,아스타,건강관리장비와용품,2026-09-11,-33.77,6.17,2018-07-23,8.26,2018-07-10,0.0,53,99434491000
A048410,현대바이오,화장품,2026-09-11,-33.53,66.0,2018-07-23,9669.34,2024-10-04,0.0,1350,646587332400
A015710,코콤,통신장비,2026-09-11,-33.38,4.05,2020-03-23,451.51,2026-04-16,0.0,2573,51189060000
A250060,모비스,소프트웨어,2026-09-11,-33.32,16.45,2017-02-27,476.25,2017-04-04,0.0,122,100696212820
A225530,HC보광산업,건축자재,2026-09-11,-32.95,4.07,2016-03-03,109.61,2025-07-21,0.0,2402,76311326700
A344860,이노진,화장품,2026-09-11,-32.55,14.85,2022-10-21,5112.12,2026-01-02,0.0,791,20380680000
A365330,에스와이스틸텍,건축자재,2026-09-11,-31.68,4.74,2024-06-27,71.19,2025-11-24,0.0,519,81176678000
A256840,한국비엔씨,건강관리장비와용품,2026-09-11,-31.55,11.52,2020-03-19,461.03,2021-03-02,0.0,913,176800780310
A452400,이닉스,전기제품,2026-09-11,-31.35,13.04,2024-04-16,48.72,2024-10-10,0.0,222,52523568120
A008470,부스타,기계,2026-09-11,-31.11,6.93,2017-04-12,408.09,2023-11-30,0.0,2392,28374604800
A102370,케이옥션,판매업체,2026-09-11,-31.1,2.9,2022-07-29,71.65,2023-05-04,0.0,354,77923752900
A297890,HB솔루션,디스플레이장비및부품,2026-09-11,-30.75,4.56,2023-07-26,749.67,2024-06-26,0.0,1319,120828789928
A069460,대호에이엘,비철금속,2026-09-11,-30.72,6.48,2024-06-21,713.49,2016-10-05,0.0,2328,46322277400
A035200,프럼파스트,건축제품,2026-09-11,-30.69,5.07,2014-12-30,103.62,2025-12-18,0.0,2701,26230845945
A255220,SG,건축자재,2026-09-11,-30.57,2.62,2020-03-19,463.77,2025-08-19,0.0,1213,132023778910
A052300,오션인더블유,건축제품,2026-09-11,-30.49,18.46,2023-06-29,654.86,2016-10-13,0.0,736,23700182752
A140670,알에스오토메이션,기계,2026-09-11,-30.47,9.99,2018-10-29,9628.24,2023-09-11,0.0,1319,129040392000
A122310,제노레이,건강관리장비와용품,2026-09-11,-30.46,2.1,2020-03-16,88.18,2025-07-22,0.0,1806,49119223500
A069540,빛과전자,통신장비,2026-09-11,-30.33,2.72,2019-10-01,216.6,2015-06-23,0.0,755,436117641390
A000400,롯데손해보험,손해보험,2026-09-11,-29.98,1.93,2024-01-23,321.11,2025-06-25,0.0,2152,657912998400
A129920,대성하이텍,기계,2026-09-11,-29.96,4.87,2024-09-11,35.23,2023-10-13,0.0,568,81730940880
A049800,우진플라임,기계,2026-09-11,-29.77,2.84,2022-07-06,71.22,2024-10-10,0.0,1974,38900000000
A018680,서울제약,제약,2026-09-11,-29.24,8.74,2020-10-16,652.14,2015-11-30,0.0,1597,22805627964
A066410,버킷스튜디오,IT서비스,2026-09-11,-28.69,38.06,2020-03-19,2217.9,2018-07-05,0.0,1044,159637252154
A050760,에스폴리텍,화학,2026-09-11,-28.29,2.18,2020-03-19,264.44,2018-05-09,0.0,1535,19519940210
A105330,케이엔더블유,반도체와반도체장비,2026-09-11,-27.75,5.55,2016-01-06,308.12,2016-08-19,0.0,1412,119665814400
A015590,DKME,기계,2026-09-11,-27.71,4.18,2020-03-19,836.84,2022-12-02,0.0,1655,99263736572
A455900,엔젤로보틱스,건강관리장비와용품,2026-09-11,-27.59,175.63,2024-12-09,252.04,2024-09-23,0.0,59,324791899100
A043650,국순당,음료,2026-09-11,-27.48,7.94,2022-10-26,143.74,2015-06-30,0.0,1167,65539975680
