종목명,연도,분기,매출액,영업이익,영업이익률
삼아알미늄,2024,Q4,64583414430.0,-4036480725.0,-0.06250026822869545
삼아알미늄,2025,Q1,66095962153.0,-2501740605.0,-0.037850127655437264
삼아알미늄,2025,Q2,67413723975.0,-3270000886.0,-0.04850645674481151
삼아알미늄,2025,Q3,66703155577.0,-4386351338.0,-0.06575927780412931
삼아알미늄,2025,Q4,71245810696.0,-7489300744.0,-0.10511917361648433
삼아알미늄,2026,Q1,67433640627.0,-4386064389.0,-0.06504267526146064
한올바이오파마,2023,Q1,28804436202.0,-1738344582.0,-0.060349890892129325
한올바이오파마,2023,Q2,41417986987.0,8122061194.0,0.19609985382798295
한올바이오파마,2023,Q3,32969261606.0,91213520.0,0.0027666230772787543
한올바이오파마,2023,Q4,31718152827.0,-4263570529.0,-0.13442051787362114
한올바이오파마,2024,Q1,34093771031.0,118589170.0,0.0034783236472190763
한올바이오파마,2024,Q2,31592938521.0,-3057012579.0,-0.09676252739098602
한올바이오파마,2024,Q3,36839656251.0,430155408.0,0.01167642295761985
한올바이오파마,2024,Q4,36417332954.0,2738742891.0,0.07520437848810624
한올바이오파마,2025,Q1,36150425038.0,-394461621.0,-0.010911673115471157
한올바이오파마,2025,Q2,40681535264.0,1145818081.0,0.028165556524951507
한올바이오파마,2025,Q3,40803569354.0,348875709.0,0.008550127219833514
한올바이오파마,2025,Q4,37548994451.0,-2016046551.0,-0.05369109294340395
한올바이오파마,2026,Q1,40030619639.0,838726386.0,0.020952120990474683
오이솔루션,2023,Q1,15498005544.0,-6669579277.0,-0.430350812436127
오이솔루션,2023,Q2,9992830761.0,-8026130528.0,-0.8031888781029262
오이솔루션,2023,Q3,11230374919.0,-8956341228.0,-0.7975104386628536
오이솔루션,2023,Q4,9281549398.0,-7428599243.0,-0.8003619788524451
오이솔루션,2024,Q1,8098404921.0,-7095028828.0,-0.8761020098663945
오이솔루션,2024,Q2,7492919160.0,-8441298531.0,-1.1265700791305482
오이솔루션,2024,Q3,7321896461.0,-9103399367.0,-1.2433116768980763
오이솔루션,2024,Q4,9113375622.0,-5718507071.0,-0.6274850624169741
오이솔루션,2025,Q1,14068922610.0,-5686999399.0,-0.40422422929228125
오이솔루션,2025,Q2,15875402539.0,-4008616293.0,-0.2525048598391323
