종목명,상태,공시일,매출액_당기(억원),매출액_YoY(%),매출액_흑자적자전환_YoY,영업이익_당기(억원),영업이익_YoY(%),영업이익_흑자적자전환_YoY
에코프로머티,ok,20260804.0,1787.88,129.0,,-105.84,63.2,
한화비전,ok,20260730.0,5422.89,18.62,,655.78,11.6,
HL만도,ok,20260730.0,24952.85,3.9,,1070.18,2.8,
GS리테일,ok,20260807.0,31751.43,6.7,,1094.07,27.5,
풍산,ok,20260731.0,14703.22,13.6,,1252.11,33.8,
케이뱅크,ok,20260730.0,3270.14,-7.34,,269.7,-61.36,
이마트,ok,20260709.0,13577.0,2.7,,,,
금호타이어,ok,20260730.0,13327.67,9.1,,1822.38,4.0,
현대지에프홀딩스,ok,20260807.0,20557.0,2.8,,853.0,15.6,
제일기획,ok,20260724.0,10745.18,-3.96,,926.94,0.63,
현대백화점,ok,20260805.0,10681.0,-1.1,,793.0,-8.7,
한전KPS,ok,20260810.0,4379.39,-3.53,,435.8,-33.59,
SK가스,ok,20260731.0,23129.95,23.0,,-439.39,,적자전환
에스티팜,ok,20260727.0,1084.84,58.9,,183.07,41.7,
아모레퍼시픽홀딩스,ok,20260730.0,12543.02,14.6,,1227.83,53.3,
고영,ok,20260728.0,887.59,70.4,,145.53,479.1,
동진쎄미켐,ok,20260806.0,3468.73,17.5,,592.9,38.9,
두산퓨얼셀,ok,20260724.0,442.59,-65.5,,-509.14,-2559.6,
셀트리온제약,ok,20260804.0,1532.91,16.75,,193.06,24.37,
HD현대마린엔진,ok,20260728.0,1281.19,29.1,,312.85,79.2,
대한조선,ok,20260730.0,3544.0,19.7,,952.0,52.3,
티씨케이,ok,20260807.0,948.73,30.55,,268.5,37.68,
씨에스윈드,ok,20260807.0,6863.96,5.6,,860.31,45.2,
코오롱인더,ok,20260807.0,13565.13,7.79,,987.48,117.96,
에스엠,ok,20260805.0,3496.41,15.4,,528.56,11.0,
현대위아,ok,20260724.0,23537.44,8.0,,503.86,-10.6,
호텔신라,ok,20260731.0,9718.3,-5.2,,611.42,606.0,
테크윙,ok,20260713.0,567.77,16.12,,125.05,96.59,
LS마린솔루션,ok,20260805.0,954.4,42.5,,61.22,79.2,
롯데에너지머티리얼즈,ok,20260806.0,1942.0,-5.2,,-169.0,45.7,
녹십자,ok,20260731.0,4212.0,-15.8,,17.0,-93.8,
씨젠,ok,20260807.0,1359.59,19.2,,215.85,586.4,
대웅제약,ok,20260729.0,4001.95,10.0,,771.09,23.4,
IPARK현대산업개발,ok,20260723.0,9146.4,-21.4,,1227.19,52.9,
세아베스틸지주,ok,20260730.0,11363.1,17.8,,604.67,35.9,
효성티앤씨,ok,20260731.0,24161.51,27.9,,1887.62,157.5,
롯데렌탈,ok,20260805.0,7657.64,2.3,,846.38,9.6,
LX인터내셔널,ok,20260803.0,47763.0,24.7,,1178.0,114.2,
HD현대에너지솔루션,ok,20260724.0,1650.37,23.4,,361.15,139.8,
비츠로셀,ok,20260709.0,762.95,35.0,,195.64,21.3,
LS에코에너지,ok,20260805.0,3502.71,40.0,,252.56,7.0,
HDC,ok,20260804.0,15197.14,-16.4,,2283.82,37.2,
RFHIC,ok,20260727.0,515.01,15.37,,111.86,34.69,
동양생명,ok,20260727.0,13788.72,25.74,,868.4,109.81,
롯데정밀화학,ok,20260730.0,5863.0,38.1,,619.0,611.5,
SK아이이테크놀로지,ok,20260730.0,395.26,-52.22,,-634.48,-18.12,
코스모신소재,ok,20260722.0,1376.84,14.6,,46.53,779.9,
HK이노엔,ok,20260729.0,2672.25,1.6,,300.09,53.6,
케이씨텍,ok,20260805.0,1126.89,15.5,,235.22,51.2,
롯데웰푸드,ok,20260807.0,11557.48,8.6,,647.09,88.5,
DL,ok,20260803.0,16678.71,26.19,,2565.07,256.11,
SNT다이내믹스,ok,20260731.0,1963.13,5.2,,171.88,-41.9,
롯데관광개발,ok,20260803.0,,,,,,
코스메카코리아,ok,20260810.0,2260.8,39.8,,320.57,39.3,
종근당,ok,20260731.0,4754.24,10.7,,199.19,-10.1,
한샘,ok,20260810.0,4172.33,-9.2,,112.85,400.2,
인바디,ok,20260806.0,732.54,30.4,,177.43,70.7,
롯데칠성,code_not_found,,,,,,,
파라다이스,ok,20260807.0,3180.89,11.8,,355.5,-17.0,
CJ CGV,ok,20260807.0,5939.58,20.8,,114.7,568.0,
해성디에스,ok,20260729.0,2111.0,34.1,,249.0,202.2,
카카오게임즈,ok,20260805.0,750.21,-35.22,,-230.26,-167.3,
GS피앤엘,ok,20260804.0,1589.61,41.7,,293.6,153.9,
에스앤에스텍,ok,20260803.0,664.15,9.5,,135.95,2.3,
샘씨엔에스,ok,20260805.0,312.65,67.1,,95.29,175.9,
덕산네오룩스,ok,20260806.0,945.85,16.9,,185.0,80.0,
HS효성첨단소재,ok,20260730.0,9526.98,13.01,,775.93,32.09,
쎄트렉아이,ok,20260729.0,511.41,15.0,,13.67,-32.5,
삼화콘덴서,code_not_found,,,,,,,
SNT홀딩스,ok,20260731.0,5237.73,-6.66,,639.8,-24.12,
이노션,ok,20260805.0,4990.51,-3.9,,445.86,22.4,
SGC에너지,ok,20260723.0,5770.0,-6.7,,448.0,31.9,
CJ ENM,ok,20260806.0,12032.75,-8.3,,334.47,16.9,
와이지엔터테인먼트,ok,20260807.0,1277.6,27.2,,109.68,31.2,
세방전지,ok,20260804.0,4051.71,-4.7,,387.41,29.0,
스튜디오드래곤,ok,20260806.0,1452.92,26.9,,154.46,,흑자전환
보령,ok,20260806.0,2796.23,11.2,,237.99,-6.2,
지역난방공사,ok,20260810.0,6531.13,4.8,,330.94,,흑자전환
SNT모티브,ok,20260731.0,2580.25,0.2,,258.42,-3.0,
씨엠티엑스,ok,20260803.0,478.97,18.6,,155.75,13.8,
큐리옥스바이오시스템즈,ok,20260806.0,11.76,18.07,,-44.57,-12.61,
성광벤드,ok,20260810.0,641.32,10.4,,100.07,-7.1,
OCI,ok,20260722.0,5350.1,1.5,,432.61,,흑자전환
TKG휴켐스,code_not_found,,,,,,,
명인제약,ok,20260731.0,761.34,5.4,,269.44,9.8,
티엘비,ok,20260803.0,882.43,37.8,,127.73,86.3,
안랩,ok,20260729.0,713.09,14.5,,53.82,55.6,
디아이,ok,20260803.0,1686.32,41.4,,395.9,223.2,
동원시스템즈,ok,20260731.0,3702.9,8.67,,245.03,9.69,
넥센타이어,ok,20260729.0,8912.93,10.77,,343.34,-19.46,
현대그린푸드,ok,20260804.0,5950.0,7.76,,381.0,23.36,
한국단자,code_not_found,,,,,,,
대한유화,ok,20260730.0,9562.54,12.93,,-38.77,15.63,
코나아이,ok,20260728.0,840.88,25.1,,213.96,24.3,
동아쏘시오홀딩스,ok,20260727.0,4123.92,18.88,,389.59,38.35,
LX홀딩스,ok,20260810.0,172.86,70.5,,603.37,42.1,
GKL,ok,20260804.0,,,,,,
KG스틸,ok,20260729.0,8964.0,11.34,,431.0,16.86,
KG모빌리티,ok,20260803.0,,,,,,
나노신소재,ok,20260807.0,365.48,24.5,,53.4,189.3,
메디톡스,ok,20260810.0,687.02,11.4,,47.65,-24.6,
LX세미콘,ok,20260724.0,4011.53,6.0,,220.06,115.1,
SNT에너지,ok,20260731.0,1080.56,-23.2,,212.7,-22.3,
PI첨단소재,ok,20260728.0,775.01,6.9,,229.83,42.1,
F&F홀딩스,code_not_found,,,,,,,
풍산홀딩스,ok,20260731.0,1628.13,32.3,,413.25,39.2,
아이센스,ok,20260727.0,884.58,15.2,,62.87,274.1,
서울반도체,ok,20260713.0,2939.69,16.9,,,,
솔루스첨단소재,ok,20260724.0,1019.0,30.99,,-213.0,-2.16,
DI동일,code_not_found,,,,,,,
SOOP,ok,20260731.0,1038.39,-11.2,,126.28,-57.9,
바이오노트,ok,20260806.0,363.68,12.23,,84.57,33.21,
에코프로에이치엔,ok,20260804.0,515.28,32.1,,57.62,57.3,
현대차증권,ok,20260730.0,10344.43,49.1,,191.2,-29.3,
하나투어,ok,20260805.0,1154.35,-3.75,,54.4,-43.63,
동국제강,ok,20260724.0,9955.15,11.4,,455.63,52.31,
일동제약,ok,20260730.0,1508.83,9.0,,50.03,739.1,
비에이치,ok,20260804.0,4142.37,6.29,,78.91,-50.79,
포스코엠텍,ok,20260730.0,1071.96,19.98,,96.68,,흑자전환
아이쓰리시스템,ok,20260804.0,394.76,56.0,,47.59,79.9,
디어유,ok,20260804.0,233.52,16.0,,94.06,26.0,
한컴,ok,20260730.0,1199.52,38.8,,143.37,-12.6,
슈프리마,ok,20260730.0,403.39,24.0,,101.59,34.2,
카페24,ok,20260806.0,834.27,5.0,,82.33,-26.7,
부광약품,ok,20260721.0,569.88,33.8,,14.09,-30.0,
메가스터디교육,ok,20260807.0,2047.43,1.87,,284.12,-13.0,
덕산하이메탈,ok,20260806.0,907.53,58.1,,100.78,290.6,
유니드,ok,20260722.0,3998.49,17.28,,242.43,-26.14,
이녹스첨단소재,ok,20260804.0,1086.67,-2.47,,104.49,-53.02,
원익머트리얼즈,ok,20260807.0,922.97,23.07,,145.83,28.93,
유진투자증권,code_not_found,,,,,,,
KCC글라스,code_not_found,,,,,,,
코스모화학,ok,20260730.0,679.06,21.9,,29.2,,흑자전환
BGF,ok,20260806.0,1236.0,0.4,,136.0,-21.4,
제이에스코퍼레이션,ok,20260803.0,4535.16,42.92,,564.76,100.85,
하이록코리아,ok,20260810.0,592.51,9.1,,169.91,3.4,
웹젠,ok,20260806.0,380.09,-2.8,,56.57,-8.4,
동아에스티,ok,20260727.0,2078.47,17.2,,108.59,170.4,
한솔테크닉스,ok,20260727.0,3351.11,14.1,,142.33,11.3,
메카로,ok,20260714.0,253.46,10.69,,,,
현대코퍼레이션,ok,20260729.0,28164.33,46.8,,629.37,81.64,
현대퓨처넷,ok,20260803.0,715.67,13.5,,66.17,51.4,
국도화학,ok,20260723.0,5342.54,53.2,,479.54,184.8,
제주항공,ok,20260804.0,4417.0,40.0,,-524.0,-16.5,
한섬,ok,20260803.0,3632.02,7.4,,46.06,525.0,
제주은행,ok,20260722.0,1039.16,12.66,,49.97,130.7,
케이씨,ok,20260806.0,2504.16,19.5,,221.74,51.5,
네오팜,ok,20260807.0,435.71,36.2,,97.89,39.6,
콜마홀딩스,ok,20260810.0,1423.47,-19.0,,253.38,54.7,
엠씨넥스,ok,20260807.0,2946.68,-9.73,,21.88,-86.47,
자이에스앤디,ok,20260729.0,3033.37,-9.98,,90.36,,흑자전환
RF머트리얼즈,ok,20260727.0,250.6,51.3,,52.9,182.44,
LX하우시스,ok,20260730.0,9396.92,14.7,,549.03,329.0,
폰드그룹,ok,20260803.0,1493.73,33.3,,217.55,38.1,
제이브이엠,ok,20260730.0,493.06,3.7,,135.24,24.0,
한라IMS,ok,20260731.0,428.36,20.1,,91.94,49.2,
광주신세계,ok,20260709.0,143.23,2.9,,,,
AP시스템,ok,20260807.0,1628.44,47.7,,95.95,254.1,
DB,ok,20260807.0,2299.64,53.2,,129.09,45.4,
롯데이노베이트,ok,20260730.0,2744.96,-2.2,,123.78,54.3,
유나이티드제약,code_not_found,,,,,,,
하림,ok,20260807.0,4257.93,9.9,,173.05,-12.5,
대한제강,ok,20260731.0,3877.27,19.2,,162.93,117.3,
송원산업,ok,20260729.0,3285.09,23.8,,398.11,363.3,
한국공항,ok,20260810.0,1738.73,8.47,,129.24,12.69,
씨앤씨인터내셔널,ok,20260810.0,733.21,-0.8,,16.01,-81.6,
파트론,ok,20260730.0,3550.39,17.8,,44.77,-30.1,
진에어,ok,20260807.0,3602.98,17.7,,-731.03,-72.9,
CJ프레시웨이,ok,20260806.0,9231.62,4.5,,235.33,-14.2,
서울바이오시스,ok,20260810.0,2141.44,13.8,,101.96,,흑자전환
KG이니시스,ok,20260805.0,3718.47,15.0,,286.11,15.1,
서울가스,code_not_found,,,,,,,
포스코스틸리온,ok,20260730.0,2982.0,5.0,,96.0,74.5,
삼영전자,code_not_found,,,,,,,
한솔아이원스,ok,20260723.0,537.38,14.28,,65.61,-27.8,
효성화학,ok,20260731.0,8712.89,41.22,,1707.7,,흑자전환
아이마켓코리아,ok,20260806.0,10076.98,37.0,,177.25,171.0,
TYM,ok,20260806.0,2625.26,0.0,,275.99,13.9,
콜마비앤에이치,ok,20260730.0,1249.91,-2.9,,116.88,11.8,
더블유씨피,ok,20260807.0,362.36,-5.1,,-154.98,40.4,
미창석유,code_not_found,,,,,,,
데브시스터즈,ok,20260807.0,526.68,-42.74,,-159.75,,적자전환
에어부산,ok,20260727.0,2353.0,37.3,,-355.0,-219.2,
헥토파이낸셜,ok,20260806.0,501.37,12.6,,46.09,20.2,
바디텍메드,ok,20260730.0,504.17,21.54,,82.39,-10.45,
엘브이엠씨홀딩스,code_not_found,,,,,,,
세나테크놀로지,ok,20260710.0,754.6,40.3,,180.02,127.7,
한진,ok,20260708.0,8478.0,14.4,,287.0,-22.4,
디지털대성,ok,20260803.0,690.25,16.38,,151.11,49.94,
