종목명,상태,현재PBR,밴드_최저PBR,밴드_최고PBR,밴드내_위치_percentile,관측치수
솔브레인홀딩스,ok,0.39,0.37,0.91,10.0,40.0
제룡전기,no_data,,,,,
솔루엠,ok,1.29,1.23,3.9,5.0,40.0
서부T&D,ok,0.51,0.36,0.69,57.5,40.0
삼아알미늄,ok,3.37,1.48,6.07,60.0,40.0
씨엠티엑스,ok,3.75,3.56,12.49,20.0,10.0
큐리옥스바이오시스템즈,ok,13.94,5.71,37.55,61.8,34.0
성광벤드,ok,1.31,0.6,1.68,62.5,40.0
영풍,ok,0.17,0.14,0.28,42.5,40.0
OCI,ok,0.58,0.4,0.78,64.3,28.0
와이지-원,ok,1.3,0.44,1.36,97.5,40.0
한화손해보험,ok,0.25,0.15,0.27,85.3,34.0
선익시스템,ok,3.34,3.04,7.67,20.0,40.0
TKG휴켐스,code_not_found,,,,,
명인제약,ok,0.9,0.77,1.43,40.0,10.0
파미셀,no_data,,,,,
한국쉘석유,no_data,,,,,
티엘비,ok,2.02,0.58,2.79,75.0,40.0
LF,ok,0.33,0.22,0.35,95.0,40.0
대한해운,ok,0.25,0.23,0.38,27.5,40.0
안랩,ok,1.49,1.41,2.32,27.5,40.0
디아이,ok,3.07,1.14,4.4,75.0,40.0
동운아나텍,no_data,,,,,
현대바이오,ok,6.42,4.46,22.25,25.0,40.0
케이아이엔엑스,ok,2.8,1.63,2.94,97.5,40.0
이엔에프테크놀로지,ok,1.47,0.7,1.84,82.5,40.0
빙그레,ok,0.85,0.73,1.18,50.0,40.0
동원시스템즈,ok,0.74,0.7,1.64,10.0,40.0
대상,ok,0.57,0.47,0.63,85.0,40.0
넥센타이어,ok,0.29,0.28,0.49,12.5,40.0
현대그린푸드,ok,0.81,0.58,0.85,92.5,40.0
한국단자,code_not_found,,,,,
금양,ok,1.41,1.28,36.41,45.0,40.0
태웅,no_data,,,,,
롯데손해보험,no_data,,,,,
지투지바이오,no_data,,,,,
카프로,no_data,,,,,
세진중공업,ok,2.81,1.53,4.19,70.0,40.0
미원에스씨,ok,1.29,1.22,1.9,7.5,40.0
코미팜,ok,9.05,4.42,9.5,97.5,40.0
펌텍코리아,ok,1.77,1.11,2.31,62.5,40.0
에이치브이엠,no_data,,,,,
대한유화,ok,0.26,0.25,0.54,5.0,40.0
코나아이,ok,2.35,1.26,3.71,62.5,40.0
넥슨게임즈,ok,2.42,2.3,5.11,7.5,40.0
동아쏘시오홀딩스,ok,0.51,0.48,0.68,15.0,40.0
태광,ok,0.92,0.57,1.17,62.5,40.0
쏠리드,ok,1.61,1.09,1.74,90.0,40.0
E1,ok,0.19,0.17,0.23,25.0,40.0
에스티큐브,ok,9.57,5.44,23.94,42.5,40.0
필옵틱스,ok,3.6,1.64,5.24,65.0,40.0
삼성전기,shares_not_found,,,,,
삼성물산,shares_not_found,,,,,
HD현대중공업,shares_not_found,,,,,
신한지주,shares_not_found,,,,,
SK,shares_not_found,,,,,
LG전자,shares_not_found,,,,,
HD한국조선해양,shares_not_found,,,,,
HD현대일렉트릭,shares_not_found,,,,,
우리금융지주,shares_not_found,,,,,
두산,shares_not_found,,,,,
미래에셋증권,shares_not_found,,,,,
한미반도체,shares_not_found,,,,,
기업은행,shares_not_found,,,,,
카카오뱅크,shares_not_found,,,,,
HD현대마린솔루션,shares_not_found,,,,,
키움증권,shares_not_found,,,,,
LG씨엔에스,shares_not_found,,,,,
HD건설기계,shares_not_found,,,,,
한화,shares_not_found,,,,,
카카오페이,shares_not_found,,,,,
산일전기,shares_not_found,,,,,
BNK금융지주,shares_not_found,,,,,
두산로보틱스,shares_not_found,,,,,
엘앤에프,shares_not_found,,,,,
금호석유화학,shares_not_found,,,,,
팬오션,shares_not_found,,,,,
강원랜드,shares_not_found,,,,,
DL이앤씨,shares_not_found,,,,,
효성,shares_not_found,,,,,
시프트업,shares_not_found,,,,,
에임드바이오,shares_not_found,,,,,
테크윙,shares_not_found,,,,,
브이엠,shares_not_found,,,,,
리브스메드,shares_not_found,,,,,
SK디스커버리,shares_not_found,,,,,
씨어스,shares_not_found,,,,,
큐리언트,shares_not_found,,,,,
삼표시멘트,shares_not_found,,,,,
제이앤티씨,shares_not_found,,,,,
미래에셋벤처투자,shares_not_found,,,,,
지역난방공사,shares_not_found,,,,,
다우데이타,shares_not_found,,,,,
케이엠더블유,shares_not_found,,,,,
에이프릴바이오,shares_not_found,,,,,
온코닉테라퓨틱스,shares_not_found,,,,,
LX홀딩스,ok,0.3,0.28,0.37,27.5,40.0
SFA넥셀,ok,1.18,1.09,4.33,25.0,40.0
GKL,ok,1.36,1.29,2.42,5.0,40.0
삼지전자,ok,0.58,0.24,0.61,95.0,40.0
KG스틸,ok,0.27,0.25,0.47,25.0,40.0
KG모빌리티,ok,0.39,0.37,1.63,7.5,40.0
나노신소재,shares_not_found,,,,,
메디톡스,ok,1.38,1.31,3.44,5.0,40.0
아이에스동서,ok,0.37,0.34,0.6,30.0,40.0
JW중외제약,ok,1.55,1.47,3.23,22.5,40.0
LX세미콘,shares_not_found,,,,,
부국증권,ok,0.41,0.19,0.52,73.5,34.0
가비아,ok,1.5,0.58,1.58,97.5,40.0
SNT에너지,ok,1.46,0.57,3.16,55.0,40.0
세미파이브,shares_not_found,,,,,
PI첨단소재,shares_not_found,,,,,
미원상사,ok,1.37,1.3,2.36,10.0,40.0
앱클론,no_data,,,,,
코스모로보틱스,shares_not_found,,,,,
위메이드,ok,0.8,0.76,5.08,5.0,40.0
F&F홀딩스,code_not_found,,,,,
지아이이노베이션,no_data,,,,,
한일홀딩스,ok,0.23,0.18,0.24,88.2,34.0
엔켐,ok,1.13,1.08,20.01,5.0,40.0
자화전자,ok,1.1,0.63,1.86,45.0,40.0
프로텍,ok,1.53,0.67,1.85,80.0,40.0
풍산홀딩스,ok,0.44,0.32,0.5,72.5,40.0
젬백스,ok,6.31,4.34,51.63,45.0,40.0
아이센스,ok,1.48,1.3,2.56,45.0,40.0
세아홀딩스,ok,0.16,0.12,0.19,75.0,40.0
아이티센글로벌,ok,1.12,0.35,2.07,57.5,40.0
한양이엔지,ok,0.8,0.46,0.84,92.5,40.0
NHN KCP,ok,1.81,1.1,2.46,55.0,40.0
서울반도체,ok,0.85,0.56,1.02,80.0,40.0
미코,ok,0.76,0.61,2.17,27.5,40.0
솔루스첨단소재,ok,0.55,0.52,2.13,20.0,40.0
인카금융서비스,ok,2.46,1.96,3.55,52.9,34.0
가온칩스,ok,10.28,6.69,15.59,55.0,40.0
마키나락스,shares_not_found,,,,,
현대힘스,ok,2.09,1.75,3.33,24.1,29.0
SK증권,ok,1.53,0.68,2.14,85.3,34.0
동성화인텍,ok,1.98,1.88,3.96,12.5,40.0
DI동일,code_not_found,,,,,
하이젠알앤엠,ok,5.4,3.95,27.94,24.0,25.0
토모큐브,ok,13.72,5.18,19.16,44.4,18.0
SOOP,ok,0.98,0.93,4.1,2.5,40.0
로킷헬스케어,ok,48.36,44.48,123.76,30.8,13.0
바이오노트,ok,0.32,0.27,0.34,67.5,40.0
에코프로에이치엔,ok,1.75,1.66,14.51,15.0,40.0
현대차증권,ok,0.35,0.31,0.41,38.2,34.0
하나투어,ok,3.02,2.87,6.81,7.5,40.0
동국제강,no_data,,,,,
쿠쿠홈시스,ok,0.37,0.36,0.67,7.5,40.0
녹십자홀딩스,ok,0.28,0.27,0.4,7.5,40.0
일동제약,ok,2.04,1.94,5.29,5.0,40.0
비에이치,ok,0.71,0.6,1.33,25.0,40.0
태영건설,ok,0.76,0.72,3.08,5.6,36.0
포스코엠텍,no_data,,,,,
전진건설로봇,ok,3.26,3.1,5.78,13.6,22.0
비나텍,ok,3.64,1.9,7.79,35.0,40.0
유진로봇,no_data,,,,,
NICE,ok,0.32,0.28,0.55,60.0,40.0
브이티,ok,1.9,1.8,6.87,10.0,40.0
세아제강지주,ok,0.17,0.16,0.47,5.0,40.0
성우하이텍,ok,0.23,0.22,0.65,12.5,40.0
월덱스,ok,1.32,0.97,2.07,42.5,40.0
고려제강,shares_not_found,,,,,
아이쓰리시스템,no_data,,,,,
디어유,ok,2.25,2.14,6.15,8.0,25.0
삼양사,ok,0.23,0.22,0.28,27.5,40.0
피노,ok,20.2,4.07,31.18,75.0,40.0
한국기업평가,ok,4.13,3.02,4.34,100.0,40.0
삼양홀딩스,ok,0.15,0.1,0.18,75.0,40.0
원텍,ok,3.01,2.86,12.86,5.0,40.0
뉴파워프라즈마,ok,1.07,0.49,1.12,100.0,40.0
대덕,ok,0.34,0.13,0.36,92.5,40.0
타이거일렉,no_data,,,,,
광전자,ok,1.8,0.38,1.89,95.0,40.0
한컴,ok,0.93,0.88,1.22,30.0,40.0
신풍제약,ok,1.5,1.42,2.71,12.5,40.0
예스티,ok,3.71,2.33,5.24,62.5,40.0
엠앤씨솔루션,no_data,,,,,
애경케미칼,ok,0.65,0.51,1.05,22.5,40.0
슈프리마,ok,1.5,0.75,1.58,100.0,40.0
삼천리,ok,0.21,0.17,0.26,57.5,40.0
천보,ok,0.9,0.86,5.6,5.0,40.0
성일하이텍,ok,3.29,1.83,5.63,57.5,40.0
노타,ok,18.85,17.9,247.97,30.0,10.0
에프에스티,ok,1.76,1.44,3.32,30.0,40.0
카페24,ok,1.7,1.61,5.34,10.0,40.0
부광약품,ok,1.32,1.24,2.4,20.0,40.0
메가스터디교육,ok,0.8,0.76,1.3,7.5,40.0
삼영무역,ok,0.62,0.39,0.65,100.0,40.0
조광피혁,no_data,,,,,
서희건설,ok,0.35,0.34,0.67,5.0,40.0
농심홀딩스,ok,0.31,0.26,0.34,75.0,40.0
덕산하이메탈,ok,1.26,0.45,1.39,87.5,40.0
