종목명,기준일,수주잔고(억원)
SK디앤디,20260514,2448.6
SK디앤디,20260317,2262.9
HJ중공업,20260515,228.6
HJ중공업,20251114,210.3
HJ중공업,20250814,194.7
HJ중공업,20250515,190.5
삼기에너지솔루션즈,20260515,1665.6
삼기에너지솔루션즈,20260318,1812.5
삼기에너지솔루션즈,20251114,2572.0
삼기에너지솔루션즈,20250813,2572.0
삼기에너지솔루션즈,20250515,2663.9
삼기에너지솔루션즈,20241114,8306742.1
아이쓰리시스템,20260513,1050.9
아이쓰리시스템,20260313,2480.4
아이쓰리시스템,20251113,2919.3
아이쓰리시스템,20250813,6194.6
아이쓰리시스템,20250514,6567.0
아이쓰리시스템,20250314,14097.2
RFHIC,20260515,143331.5
RFHIC,20251114,173959.0
RFHIC,20250814,173959.0
RFHIC,20250515,2288746.6
RFHIC,20250320,1690703.4
RFHIC,20241114,594166.1
RFHIC,20240814,661973.9
닷밀,20260515,66.7
원익IPS,20260515,4003.9
원익IPS,20251114,2092.5
원익IPS,20250814,1977.5
원익IPS,20250515,2606.8
원익IPS,20241114,1051.7
원익IPS,20240814,1604.3
삼성중공업,20260515,2952.0
삼성중공업,20251114,2673.0
삼성중공업,20250814,2574.4
삼성중공업,20250515,1756.4
삼성중공업,20250312,2381.2
삼성중공업,20241114,3141.2
삼성중공업,20240814,3335.7
SFA,20260515,348.9
SFA,20260323,523.8
SFA,20251114,523.8
SFA,20250814,523.3
SFA,20250515,523.6
SFA,20250321,2837948.8
SFA,20241114,439.5
SFA,20240813,11291.3
GS건설,20260514,178047.9
GS건설,20251113,185497.4
GS건설,20250813,126747.5
GS건설,20250514,195503.1
GS건설,20241113,179676.0
GS건설,20240813,181789.8
이수페타시스,20260515,5737.4
이수페타시스,20260323,3575.6
이수페타시스,20251114,3318.9
이수페타시스,20250814,3155.0
이수페타시스,20250514,2957.2
이수페타시스,20250320,2592.7
이수페타시스,20241114,2219.0
이수페타시스,20240814,2201.3
한솔홀딩스,20260514,3136.5
한솔홀딩스,20251113,3116.9
한솔홀딩스,20250813,3116.9
한솔홀딩스,20250514,3116.9
한솔홀딩스,20241114,3142.5
한솔홀딩스,20240813,3142.5
인터플렉스,20260515,104.1
인터플렉스,20251114,156.2
인터플렉스,20250814,96.8
인터플렉스,20250515,120.6
인터플렉스,20241114,86.2
인터플렉스,20240814,104.8
CJ CGV,20260515,2387.4
CJ CGV,20251114,2671.0
CJ CGV,20250814,2708.1
CJ CGV,20250515,2548.3
CJ CGV,20250317,2383.5
씨앤지하이테크,20260515,194.6
씨앤지하이테크,20251113,93.2
씨앤지하이테크,20250813,191.1
씨앤지하이테크,20250515,240.7
씨앤지하이테크,20241114,185.6
씨앤지하이테크,20240813,45.9
제우스,20260515,3434.8
제우스,20251114,2170.7
제우스,20250814,2470.7
제우스,20250515,2986.6
제우스,20241114,3745.6
제우스,20240814,4072.0
피엔케이피부임상연구센타,20260515,60.2
피엔케이피부임상연구센타,20251114,53.9
피엔케이피부임상연구센타,20250814,52.2
피엔케이피부임상연구센타,20250515,50.1
피엔케이피부임상연구센타,20241114,57.9
피엔케이피부임상연구센타,20240814,47.6
퓨런티어,20260513,78.7
퓨런티어,20251113,61.5
퓨런티어,20250813,59.9
퓨런티어,20250514,59.9
퓨런티어,20241113,36.6
퓨런티어,20240813,46.1
HD현대마린엔진,20260515,3343.6
HD현대마린엔진,20260316,7346.9
HD현대마린엔진,20251114,5411.2
HD현대마린엔진,20250814,10454.7
HD현대마린엔진,20250515,8325.4
HD현대마린엔진,20241114,6646.4
한미글로벌,20260515,9594.5
한미글로벌,20251114,0.0
한미글로벌,20250814,0.0
한미글로벌,20250515,0.0
한미글로벌,20241114,752.4
한미글로벌,20240813,752.4
코윈테크,20260515,2963.7
코윈테크,20251114,84.2
코윈테크,20250814,42.6
코윈테크,20241114,1.2
코윈테크,20240813,1.1
와이씨,20260515,1506.6
와이씨,20251114,2023.9
와이씨,20250814,2023.9
와이씨,20250514,1528.5
와이씨,20241114,1195.6
와이씨,20240814,401.8
테스,20260513,1455.4
테스,20260313,412.2
테스,20251114,782.6
테스,20250814,563.1
테스,20250512,551.7
테스,20241114,1825395.2
테스,20240814,460.0
제너셈,20260514,67.3
제너셈,20251113,427.8
제너셈,20250814,270.0
제너셈,20250515,84.3
제너셈,20241114,537.5
